q,stock,weight
10,ADBE,0.1978832261473732
10,AMAT,0.01058386926312841
10,AMZN,0.0
10,AVGO,0.1978832261473732
10,GOOG,0.1978832261473732
10,INTU,0.0
10,MA,0.1978832261473788
10,MSFT,0.1978832261473732
10,NVDA,0.0
10,WFC,0.0
15,ADBE,0.0989416130736866
15,AMAT,0.0989416130736866
15,AMD,0.0989416130736866
15,AMZN,0.0989416130736866
15,BMY,0.0
15,CI,0.0
15,CSX,0.01058386926313376
15,GOOG,0.0989416130736866
15,GOOGL,0.0989416130736866
15,INTU,0.0989416130736866
15,META,0.0989416130736866
15,NOW,0.0989416130736866
15,NVDA,0.0989416130736866
15,TMUS,0.0
15,VRTX,0.0
20,AAPL,0.0989416130736866
20,ADBE,0.0989416130736866
20,AMAT,0.0989416130736866
20,AMD,0.0989416130736866
20,AMZN,0.0989416130736866
20,CME,0.0
20,CVS,0.0
20,GILD,0.0
20,GOOG,0.0989416130736866
20,GOOGL,0.0989416130736866
20,HON,0.0
20,INTC,0.0
20,INTU,0.0989416130736866
20,ISRG,0.01058386926313376
20,META,0.0989416130736866
20,MO,0.0
20,NVDA,0.0989416130736866
20,PLD,0.0
20,VZ,0.0
20,XOM,0.0
25,ABBV,0.0
25,ADBE,0.0989416130736866
25,AMAT,0.0989416130736866
25,AMD,0.0989416130736866
25,AMGN,0.0
25,AMZN,0.0989416130736866
25,BA,0.0
25,BDX,0.0
25,BMY,0.0
25,CB,0.0
25,CME,0.0
25,DHR,0.0
25,GOOG,0.0989416130736866
25,GOOGL,0.0989416130736866
25,INTC,0.01058386926313376
25,INTU,0.0989416130736866
25,ISRG,0.0989416130736866
25,JNJ,0.0
25,LLY,0.0
25,NOW,0.0989416130736866
25,NVDA,0.0989416130736866
25,PM,0.0
25,VRTX,0.0
25,VZ,0.0
25,XOM,0.0
30,ABBV,0.0
30,ADBE,0.0989416130736866
30,AMAT,0.0989416130736866
30,AMD,0.0989416130736866
30,AMGN,0.0
30,AMZN,0.0989416130736866
30,BAC,0.0
30,BDX,0.0
30,BMY,0.0
30,CVS,0.0
30,CVX,0.0
30,GILD,0.0
30,GOOG,0.0989416130736866
30,GOOGL,0.0989416130736866
30,INTU,0.0989416130736866
30,KO,0.0
30,MCD,0.0
30,META,0.0989416130736866
30,MO,0.0
30,MRK,0.0
30,NEE,0.0
30,NOW,0.0989416130736866
30,NVDA,0.0989416130736866
30,PG,0.0
30,PM,0.0
30,TMO,0.01058386926313376
30,TMUS,0.0
30,WFC,0.0
30,WMT,0.0
30,XOM,0.0
