Ticker,mean,std,sharpe,correlation
^OEX,0.1300010030487898,0.17995927944448575,0.7223912178915609,1.0
MSFT,0.15064658962592675,0.2704000940215146,0.5571247679149861,0.8157115871860356
AAPL,0.15282664342828245,0.27066190272058765,0.5646403941305694,0.7834040720391598
AMZN,0.17220387773997992,0.3670201250054227,0.4691946463083887,0.7728790025886464
BLK,0.14687162959651856,0.2650516098849611,0.5541246463670394,0.7441743325443446
GOOG,0.14195020763678998,0.32388012371509006,0.4382800834103062,0.7404504213409776
GOOGL,0.14012801225859214,0.32423760262403223,0.43217693174556543,0.7399523645602148
NVDA,0.7214300536945624,0.5581028035146569,1.2926472491292837,0.7333147651734738
INTU,0.1755095493178992,0.3568789530794166,0.49179013725374526,0.7248238432305533
AMAT,0.17218621739639264,0.42122216903813425,0.40877767138795634,0.7152916542747634
MA,0.1832540850746628,0.21693281500320435,0.8447504130343577,0.7131814441294029
ADI,0.180202980227021,0.31545714189168267,0.5712439387056154,0.6953186378790944
QCOM,0.11881149101372855,0.3780020449119683,0.31431441340852584,0.6950588724524421
AMD,0.11463363064524278,0.5073780250045659,0.22593337707956745,0.6863454472982574
TXN,0.08236988145370067,0.28111169314621076,0.2930147818890577,0.6826270532388615
AXP,0.18352168610555528,0.27634733223462615,0.6640979112103045,0.672897948316667
ACN,0.05924701967814501,0.2641489594078636,0.22429397341166,0.6684599322613627
SPGI,0.1161942568890127,0.23071387995606588,0.5036292437678185,0.6642084485175259
V,0.1949939361069623,0.20709494688573757,0.9415678124418368,0.662575191302833
NOW,0.24782321037906682,0.4050686037638212,0.6118055264622837,0.6600869925467356
ADBE,0.04427438916283405,0.378214649613607,0.11706153954656649,0.6480155913659276
ISRG,0.2547287802517576,0.33604721538917015,0.7580148520402433,0.6473477607520229
BRK-B,0.15718755920156932,0.173771258873598,0.9045659231594119,0.6465417162591612
META,0.4912968480632312,0.4566348762001168,1.0759074123981807,0.6464073919125538
AVGO,0.525682895012659,0.4404361693744336,1.1935506926220527,0.6441997485043769
MS,0.16814056579075223,0.2810724649315113,0.5982107348427849,0.6413434614072105
CRM,0.18643583974000158,0.37311422238148045,0.4996749749983675,0.635218545872815
GS,0.22262533295183204,0.2657120827152623,0.8378442209961444,0.6288594737842976
ETN,0.2756558197551094,0.2913001515590984,0.9462948037608038,0.6282283569123982
COST,0.21985159645346367,0.2404908345530144,0.9141786915168238,0.6281075333459503
ITW,0.11080198965314587,0.2106220417685732,0.5260702475522131,0.6279250950734866
ADP,0.15576874916106417,0.21268535002243266,0.7323905908170671,0.6126732968419566
HD,0.08438967665260773,0.2430767311515592,0.3471729945224188,0.6115911948110592
BKNG,0.3077014166175101,0.3083548584603164,0.9978808770970269,0.6042283279594953
C,0.15386710950241392,0.28962352073039704,0.5312659314215187,0.5972015875915158
LIN,0.18985190858178908,0.2059141802018844,0.9219953108409173,0.5918266671766803
CSCO,0.08917618458893324,0.22665798410247187,0.3934394146407689,0.586450259162063
TSLA,0.16887544964224716,0.6156257049215377,0.2743151370909221,0.5774927035680758
JPM,0.24090662486000836,0.2426537006514763,0.992800127149195,0.5748796594708746
LOW,0.04914239122903072,0.2649776716846351,0.18545861210342982,0.5733872374894684
MMC,0.17524332204258597,0.18791892862607734,0.9325474731248953,0.5730667395210702
BAC,0.05014108663768291,0.2688756386313023,0.18648430513423805,0.5723507044662912
SYK,0.17227036874982024,0.24597072265395453,0.7003694053140621,0.5677361508349015
DIS,-0.04747472678161774,0.297638814288189,-0.15950448833481207,0.5661589830633195
HON,0.08192058865517447,0.20134403918203184,0.4068687058627617,0.5653295930981884
ORCL,0.2880211144296532,0.33292583887720145,0.8651209392488421,0.5642780356695957
GE,0.45335697919749923,0.29603072458746765,1.531452452542799,0.562331387517861
NFLX,0.4443944845907599,0.46319261893532826,0.9594161617087578,0.5590637567030589
PLD,-0.030832846006674637,0.2884404589737001,-0.10689501090235738,0.5576072303963743
TMO,0.017415003193889125,0.25423320952886913,0.06850011147702396,0.5536193012806458
CSX,-0.013750277943941252,0.23025702285486346,-0.05971708386331557,0.549519619543607
DHR,-0.008109614093687479,0.27273319466053214,-0.02973460602689534,0.5469035215091897
TJX,0.2440127452852683,0.21834620142895703,1.117549761288897,0.5346538373478078
INTC,-0.0794400722419054,0.46161537934762853,-0.17209147657552695,0.5265634234788703
CAT,0.2083618112095102,0.2923191706746247,0.7127887327014691,0.5264072459040965
WFC,0.1764035989210052,0.2946688339164416,0.598650344444053,0.5260271202569682
UPS,-0.11186465445158933,0.27243747960476156,-0.4106066999807695,0.4994776205906953
ZTS,-0.0011109430250319844,0.27363952093278177,-0.004059877832138444,0.49700910602226167
SBUX,0.1392881652249819,0.3245796891810583,0.4291339534411953,0.4800312721540295
BA,0.03398984123729747,0.36382741950733033,0.09342297862905478,0.4777946368886789
CMCSA,-0.020949824430163133,0.2686315602695715,-0.07798720451588043,0.4588137315205906
ABT,0.08208410856480458,0.21650331697431596,0.3791355703549905,0.45492926136698864
IBM,0.29738041126587483,0.22571378797303002,1.3175110565306187,0.4292123804075602
TMUS,0.27777980621116466,0.21644270719720007,1.2833872289265011,0.41864066955218776
DE,0.11201704626860694,0.28640654839408797,0.39111202902551795,0.4068206875562065
MCD,0.13022652451906414,0.1752862948737274,0.7429361469068452,0.4061072567962403
APD,0.16082978537504836,0.2690043407815505,0.5978705953509237,0.4056692521794874
BDX,-0.0020133451119255397,0.20750190136519955,-0.009702779100718163,0.37184842083546793
KO,0.09820855799648291,0.1573774552841012,0.6240319353187831,0.37136839759138474
