Date,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMT,AMZN,APD,AVGO,AXP,BA,BAC,BDX,BKNG,BLK,BMY,BRK-B,C,CAT,CB,CI,CMCSA,CME,COP,COST,CRM,CSCO,CSX,CVS,CVX,DE,DHR,DIS,DUK,EOG,ETN,GE,GILD,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,ITW,JNJ,JPM,KO,LIN,LLY,LOW,MA,MCD,MDLZ,META,MMC,MO,MRK,MS,MSFT,NEE,NFLX,NOW,NVDA,ORCL,PEP,PFE,PG,PGR,PLD,PM,QCOM,RTX,SBUX,SO,SPGI,SYK,T,TJX,TMO,TMUS,TSLA,TXN,UNH,UPS,V,VRTX,VZ,WFC,WMT,XOM,ZTS,^OEX
2023-07-31,194.75765991210938,141.54005432128906,107.98419189453125,310.05908203125,546.1699829101562,193.51573181152344,239.29283142089844,149.42391967773438,114.4000015258789,221.9041290283203,180.80323791503906,133.67999267578125,293.7115173339844,87.78668975830078,165.80908203125,238.85000610351562,30.510395050048828,270.693115234375,2938.671142578125,707.8079223632812,57.96223831176758,351.9599914550781,44.5317497253418,258.69415283203125,200.1302947998047,286.2792663574219,43.28897476196289,182.6005401611328,111.96952056884766,542.39697265625,223.7602081298828,49.699424743652344,32.507232666015625,70.1889419555664,152.1077423095703,420.1953125,224.63623046875,87.80528259277344,87.11814880371094,125.46935272216797,201.2065887451172,90.28563690185547,71.78715515136719,132.4824981689453,132.08848571777344,340.0871887207031,319.60302734375,186.93035888671875,135.123779296875,35.05546569824219,506.9311218261719,324.3999938964844,254.47418212890625,158.6675262451172,152.3590850830078,59.150596618652344,382.2306823730469,449.03155517578125,227.5574951171875,390.8688659667969,281.4112854003906,71.31177520751953,317.38763427734375,184.3284912109375,39.96653747558594,102.37214660644531,86.69863891601562,331.38385009765625,69.59150695800781,438.9700012207031,583.0,46.7035026550293,115.1085433959961,179.00929260253906,32.98533248901367,150.6283721923828,122.72940826416016,119.20919799804688,92.3649673461914,127.20343017578125,84.26664733886719,97.39631652832031,67.79364013671875,389.00347900390625,279.2801818847656,13.248794555664062,84.45343780517578,546.42724609375,134.72669982910156,267.42999267578125,172.15089416503906,492.8360900878906,172.40061950683594,234.58883666992188,352.3399963378906,30.738508224487305,44.01079177856445,52.27485656738281,101.02368927001953,185.2405242919922,2142.10009765625
2023-08-01,193.9248809814453,140.5559539794922,107.20822143554688,314.587158203125,549.0999755859375,193.4672393798828,240.31869506835938,150.44906616210938,117.5999984741211,219.98031616210938,181.6868133544922,131.69000244140625,290.9026184082031,89.872314453125,166.56507873535156,238.00999450683594,30.148088455200195,270.6154479980469,2882.792236328125,701.4947509765625,57.34710693359375,352.260009765625,43.980472564697266,281.60076904296875,198.9652099609375,286.8031311035156,43.33679962158203,183.39898681640625,111.64612579345703,537.3662719726562,223.02432250976562,50.291534423828125,32.49747085571289,69.49353790283203,150.84373474121094,423.9512634277344,224.5833740234375,87.94357299804688,85.75023651123047,124.7309341430664,214.61251831054688,89.47952270507812,71.35344696044922,131.26824951171875,130.92404174804688,341.85516357421875,317.908447265625,186.30441284179688,134.32717895507812,35.08486557006836,503.7608947753906,323.95001220703125,243.3895263671875,159.95556640625,151.60671997070312,58.997779846191406,380.2445068359375,447.58929443359375,225.69252014160156,393.63470458984375,279.366943359375,71.52339935302734,321.48193359375,185.5806884765625,39.75536346435547,101.05709838867188,86.11155700683594,331.79815673828125,68.51868438720703,438.6199951171875,590.3900146484375,46.48162078857422,115.7762451171875,178.39816284179688,32.573707580566406,150.58016967773438,124.13224792480469,118.6645278930664,91.0033950805664,127.11682891845703,84.30496215820312,97.09905242919922,66.80025482177734,392.7503967285156,275.2004699707031,13.048055648803711,84.29727935791016,543.6188354492188,134.22796630859375,261.07000732421875,170.59197998046875,491.2496032714844,170.89894104003906,236.61175537109375,347.739990234375,30.152240753173828,43.58174133300781,52.02960205078125,100.43962860107422,182.6996307373047,2135.840087890625
2023-08-02,190.92100524902344,141.350830078125,105.35563659667969,311.4606018066406,530.2999877929688,186.65884399414062,239.38958740234375,145.22479248046875,109.3499984741211,218.3597412109375,181.09776306152344,128.2100067138672,287.93023681640625,87.1663818359375,163.7178192138672,231.3800048828125,29.73810386657715,268.3808288574219,2853.719970703125,687.2974243164062,57.552154541015625,351.19000244140625,43.27035903930664,280.547119140625,201.2464141845703,290.45068359375,43.12638473510742,183.2521514892578,109.94355773925781,534.3480834960938,219.27525329589844,50.21513366699219,32.15601348876953,71.80528259277344,148.45513916015625,421.1050109863281,227.1110382080078,85.24689483642578,86.10385131835938,123.11201477050781,214.48509216308594,88.49162292480469,71.35344696044922,128.03358459472656,127.76914978027344,335.52874755859375,314.4906921386719,185.74595642089844,135.11439514160156,33.703033447265625,493.4082946777344,313.8699951171875,241.62098693847656,160.92161560058594,149.8898468017578,59.17924880981445,375.48944091796875,448.9623718261719,222.91444396972656,386.64569091796875,277.9752197265625,72.48538970947266,313.1139221191406,186.85247802734375,39.218597412109375,101.46025085449219,84.57756042480469,323.0775451660156,68.2718276977539,429.70001220703125,563.1699829101562,44.24484634399414,113.61604309082031,179.82098388671875,32.335872650146484,150.90782165527344,122.12539672851562,118.18672943115234,90.71626281738281,124.41239929199219,81.89954376220703,97.93330383300781,66.5097427368164,388.7470397949219,270.5690002441406,13.093679428100586,83.55551147460938,551.506591796875,132.78065490722656,254.11000061035156,164.92054748535156,491.30804443359375,168.91815185546875,234.4210968017578,358.3999938964844,30.05302619934082,43.00014114379883,52.06557083129883,99.18672180175781,179.2427978515625,2102.64990234375
2023-08-03,189.52313232421875,141.0385284423828,104.3080825805664,310.823486328125,523.760009765625,185.7180938720703,240.00900268554688,145.69793701171875,113.1500015258789,218.63458251953125,176.47105407714844,128.91000366210938,271.0961608886719,86.45130920410156,163.38400268554688,231.36000061035156,29.947864532470703,261.0553283691406,2809.196533203125,680.3328857421875,57.0675048828125,353.80999755859375,43.176918029785156,274.5765686035156,198.65188598632812,279.042236328125,43.20289611816406,186.16146850585938,109.37286376953125,539.5140380859375,214.36270141601562,50.759498596191406,32.10723114013672,69.84123229980469,148.39935302734375,414.65924072265625,226.7499237060547,84.44676971435547,84.09386444091797,124.67411804199219,212.75059509277344,88.79985809326172,71.21202850341797,128.1629638671875,127.83880615234375,337.4974365234375,315.7831115722656,183.44461059570312,135.37681579589844,34.17344665527344,492.3482666015625,311.2799987792969,241.8239288330078,161.61300659179688,150.80615234375,58.87360763549805,372.52496337890625,443.7070007324219,220.22384643554688,389.60986328125,279.31890869140625,72.42766571044922,311.9981689453125,186.89158630371094,38.98101806640625,101.48904418945312,84.4071273803711,322.2489013671875,66.55340576171875,431.0,560.4000244140625,44.4907112121582,112.47704315185547,178.6846160888672,32.015716552734375,151.302978515625,125.52536010742188,118.31095886230469,90.23461151123047,114.23958587646484,81.14246368408203,98.12508392333984,64.30742645263672,378.364013671875,271.6036682128906,12.85644245147705,83.95567321777344,546.1484985351562,132.37969970703125,259.32000732421875,164.3084716796875,491.3663635253906,167.21376037597656,235.605224609375,347.739990234375,29.81851577758789,43.38450241088867,52.078651428222656,100.91065216064453,178.13975524902344,2098.75
2023-08-04,180.42222595214844,139.78948974609375,104.41478729248047,305.7955627441406,526.8800048828125,182.67274475097656,237.84117126464844,143.5786590576172,115.81999969482422,230.556640625,175.54000854492188,139.57000732421875,273.6067810058594,86.1259994506836,162.4021759033203,231.36000061035156,29.842981338500977,263.0859375,3030.032470703125,680.4382934570312,56.377811431884766,349.989990234375,43.20527267456055,269.68890380859375,196.71334838867188,278.013916015625,42.88726806640625,188.2081298828125,108.1553955078125,534.0481567382812,213.3980712890625,50.26288604736328,30.751136779785156,68.4974136352539,148.06480407714844,414.757080078125,224.36318969726562,85.24689483642578,83.24705505371094,122.88481140136719,212.41603088378906,89.35307312011719,74.18193817138672,127.93402099609375,127.50042724609375,337.55474853515625,312.50897216796875,182.19281005859375,135.1800079345703,34.56195068359375,492.3482666015625,309.30999755859375,238.35452270507812,160.09764099121094,150.4878692626953,57.985347747802734,369.658203125,444.032958984375,216.7269744873047,387.96417236328125,275.47979736328125,71.10974884033203,309.54754638671875,185.47308349609375,38.717037200927734,100.78831481933594,84.07571411132812,323.3537292480469,65.67045593261719,431.6000061035156,551.6300048828125,44.65562057495117,112.36902618408203,176.2782440185547,32.03400802612305,149.64537048339844,123.27494049072266,116.81068420410156,89.11386108398438,116.93437194824219,81.02747344970703,96.54287719726562,63.57643508911133,381.4404296875,279.5757751464844,12.774320602416992,83.39935302734375,546.407470703125,131.62672424316406,253.86000061035156,161.09498596191406,489.2933654785156,166.69784545898438,235.83218383789062,340.4800109863281,29.42165756225586,43.096229553222656,51.77780532836914,101.1932601928711,175.92384338378906,2089.389892578125
2023-08-07,177.3092803955078,142.249755859375,105.19073486328125,309.58856201171875,529.72998046875,184.36997985839844,242.73812866210938,148.23121643066406,116.80999755859375,239.71145629882812,174.35244750976562,142.22000122070312,276.3675537109375,87.6313705444336,163.92398071289062,238.25,30.39598274230957,267.3898620605469,3207.9375,682.6129150390625,56.359169006347656,362.5799865722656,43.31870651245117,274.77166748046875,198.76937866210938,283.0973205566406,43.470706939697266,191.22760009765625,108.8877944946289,540.2106323242188,214.8599090576172,50.625789642333984,31.00479507446289,69.45594787597656,148.60385131835938,421.86785888671875,225.1294403076172,85.77043151855469,83.43318176269531,120.83042907714844,217.52230834960938,90.67288970947266,76.05818176269531,131.31802368164062,130.90415954589844,339.7909851074219,315.13214111328125,182.568359375,136.99813842773438,34.65046691894531,500.5511169433594,309.239990234375,241.34072875976562,163.94287109375,151.2016143798828,58.44380569458008,376.6537780761719,448.5672607421875,216.90182495117188,393.43646240234375,279.6836853027344,71.43682861328125,315.3553771972656,187.87966918945312,38.822628021240234,101.83460235595703,84.35031127929688,325.6522521972656,65.16727447509766,440.760009765625,554.8900146484375,45.3922233581543,113.99897766113281,178.46498107910156,32.63773727416992,151.22586059570312,124.36605072021484,118.9034194946289,90.04010009765625,114.85553741455078,81.90912628173828,97.55933380126953,63.74513626098633,384.9310302734375,282.0984802246094,12.78344440460205,84.21920013427734,549.5446166992188,133.6314239501953,251.4499969482422,161.59231567382812,497.08929443359375,167.81259155273438,238.31887817382812,345.32000732421875,29.340478897094727,43.29801940917969,52.48086166381836,100.98600006103516,177.95265197753906,2108.31005859375
2023-08-08,178.2510986328125,141.57791137695312,102.40699005126953,308.8828430175781,520.5999755859375,180.98516845703125,240.33802795410156,145.89508056640625,113.2300033569336,247.16036987304688,175.3879852294922,139.94000244140625,272.75067138671875,86.27352142333984,162.85382080078125,238.0399932861328,29.814380645751953,273.1025695800781,3191.08154296875,667.6969604492188,56.070247650146484,363.7300109863281,42.6854133605957,275.9813537597656,196.86997985839844,283.4173889160156,43.422882080078125,188.22647094726562,109.94355773925781,537.9952392578125,210.40480041503906,50.673545837402344,30.5462589263916,69.54051971435547,148.3807830810547,421.0364685058594,228.1678924560547,87.05455780029297,85.73162841796875,121.55938720703125,216.6466827392578,89.74031829833984,75.50189971923828,131.21849060058594,130.77476501464844,332.814697265625,313.8301086425781,180.69065856933594,136.74510192871094,34.44392395019531,496.142578125,302.8699951171875,240.38397216796875,164.0186309814453,150.3528289794922,58.18592834472656,373.5326843261719,515.2675170898438,214.58030700683594,389.7882995605469,277.93682861328125,70.60952758789062,311.4502868652344,185.2969970703125,38.92823028564453,102.14176940917969,83.77269744873047,321.64703369140625,65.2337417602539,438.29998779296875,552.8300170898438,44.6396369934082,113.14473724365234,176.12545776367188,32.60114669799805,151.3896942138672,123.23597717285156,117.93828582763672,89.98453521728516,113.23867797851562,82.61830139160156,96.56205749511719,64.48548126220703,381.11505126953125,278.2159118652344,12.93856143951416,84.50224304199219,553.5184326171875,133.25006103515625,249.6999969482422,159.4595489501953,492.3396911621094,166.33853149414062,236.12823486328125,344.4700012207031,29.37656021118164,42.74069595336914,52.53318405151367,101.48529052734375,186.4322052001953,2101.179931640625
2023-08-09,176.65496826171875,142.66610717773438,102.13540649414062,305.3348693847656,513.780029296875,179.23941040039062,242.24453735351562,143.08583068847656,110.47000122070312,245.7577667236328,177.7536163330078,137.85000610351562,274.5399169921875,83.10550689697266,160.84109497070312,237.86000061035156,29.423463821411133,273.5203552246094,3170.001953125,663.012451171875,56.49897003173828,358.0199890136719,42.00486373901367,277.58135986328125,196.7916717529297,279.71160888671875,43.30810546875,189.5388946533203,110.7520523071289,541.4585571289062,204.71658325195312,50.606693267822266,30.351137161254883,70.10436248779297,148.57595825195312,426.543212890625,225.5169219970703,86.42236328125,86.37371063232422,123.84100341796875,214.31491088867188,88.64968872070312,75.58676147460938,129.5364532470703,129.04306030273438,327.49169921875,314.2130432128906,182.22171020507812,135.07669067382812,33.716094970703125,492.07086181640625,304.1000061035156,238.60580444335938,163.91448974609375,148.33694458007812,58.31964111328125,371.36065673828125,519.8413696289062,213.34669494628906,390.2641296386719,276.6411437988281,70.99431610107422,304.0485534667969,186.58831787109375,38.79623031616211,101.84420776367188,82.91100311279297,317.8786926269531,65.43311309814453,428.8999938964844,550.3300170898438,42.53077697753906,111.05327606201172,175.6862030029297,32.78409194946289,151.1969451904297,123.23597717285156,117.15470123291016,89.95674133300781,112.18962860107422,84.1133041381836,95.8141098022461,64.84161376953125,382.2490234375,277.8906555175781,13.020683288574219,84.47578430175781,545.3517456054688,134.6680145263672,242.19000244140625,159.97601318359375,488.68988037109375,165.2514190673828,236.59202575683594,345.1099853515625,29.502832412719727,42.01042175292969,52.618202209472656,103.20919799804688,186.48143005371094,2080.830078125
2023-08-10,176.43682861328125,143.3000946044922,101.59223175048828,304.2371520996094,515.8300170898438,179.1424560546875,242.48651123046875,142.54367065429688,110.2300033569336,248.35447692871094,177.6016082763672,138.55999755859375,275.4152526855469,82.34062957763672,160.566162109375,238.25999450683594,29.49974250793457,269.3426818847656,3188.331298828125,667.725830078125,57.1234245300293,356.9800109863281,41.91035079956055,276.8887023925781,197.38890075683594,280.2742614746094,43.9297981262207,187.96031188964844,110.17183685302734,543.1902465820312,207.0933074951172,50.9696044921875,30.165775299072266,69.5029296875,149.47750854492188,425.0565185546875,226.6794891357422,90.64026641845703,86.45746612548828,124.06820678710938,213.42942810058594,89.75613403320312,75.42646789550781,129.59619140625,129.07290649414062,325.30328369140625,315.352294921875,182.73483276367188,135.797119140625,34.10951614379883,496.7964172363281,304.6700134277344,233.67713928222656,163.06207275390625,148.11509704589844,58.18592834472656,374.0610046386719,515.0106811523438,214.53173828125,393.70416259765625,276.0364685058594,70.91735076904297,304.5765686035156,186.6470184326172,38.64664077758789,101.3354721069336,82.98677062988281,318.5692138671875,64.83497619628906,429.9800109863281,555.0,42.364871978759766,110.94527435302734,175.466552734375,32.67432403564453,150.4452667236328,122.88526153564453,116.73423767089844,89.69738006591797,111.26570892333984,82.62787628173828,98.00244140625,65.04777526855469,382.3969421386719,278.885986328125,12.929436683654785,84.45619201660156,545.0529174804688,134.68759155273438,245.33999633789062,160.25335693359375,490.0232849121094,166.18191528320312,237.432373046875,347.3800048828125,29.782438278198242,41.96237564086914,52.591949462890625,103.73674774169922,186.23524475097656,2082.739990234375
2023-08-11,176.49639892578125,144.00030517578125,102.14509582519531,302.9042053222656,508.45001220703125,177.6876678466797,244.67369079589844,136.8462371826172,107.56999969482422,248.78091430664062,177.7631072998047,138.41000366210938,277.8009033203125,81.0570068359375,162.2647247314453,235.72000122070312,29.83344841003418,274.2781066894531,3171.554931640625,666.3845825195312,57.0675048828125,358.3500061035156,42.12773895263672,278.2544860839844,197.54554748535156,280.8563232421875,44.02544403076172,188.85057067871094,112.05512237548828,544.6122436523438,207.54080200195312,51.37071228027344,29.999919891357422,70.35810089111328,152.56314086914062,425.5455627441406,224.95327758789062,87.9336929321289,87.30426025390625,125.28003692626953,214.83636474609375,90.57015991210938,75.42646789550781,129.55636596679688,128.9435272216797,325.61865234375,316.9893493652344,184.6034393310547,135.67388916015625,34.316062927246094,493.1308898925781,304.489990234375,229.4539031982422,164.65321350097656,148.97352600097656,58.424705505371094,373.5718078613281,521.8665161132812,217.28065490722656,391.5628356933594,277.0154113769531,71.15785217285156,300.4921875,187.68402099609375,38.47945785522461,103.13045501708984,83.0435791015625,316.6751708984375,65.43311309814453,421.6600036621094,557.4400024414062,40.83271026611328,111.01399993896484,175.7434844970703,32.967041015625,151.32225036621094,124.5414047241211,118.02428436279297,89.06755828857422,110.30328369140625,83.22205352783203,97.3565444946289,65.13212585449219,382.2785949707031,277.9991149902344,13.111928939819336,84.15245056152344,541.5671997070312,135.2841033935547,242.64999389648438,158.95263671875,494.4322509765625,164.19248962402344,237.313720703125,349.8599853515625,30.089101791381836,42.02002716064453,52.90043258666992,105.34762573242188,187.93902587890625,2079.449951171875
2023-08-14,178.15426635742188,144.08547973632812,102.91136169433594,305.51129150390625,522.25,179.80194091796875,243.84141540527344,139.86253356933594,111.9800033569336,247.32147216796875,177.8011016845703,140.57000732421875,279.66705322265625,83.43472290039062,163.0599822998047,236.7100067138672,29.490205764770508,274.6084899902344,3199.35107421875,663.8173217773438,57.43098831176758,358.4800109863281,41.683494567871094,277.5910949707031,197.4476318359375,281.17645263671875,44.5323600769043,189.47463989257812,111.94098663330078,543.1707763671875,210.88214111328125,51.4566650390625,30.068212509155273,69.86003112792969,152.4516143798828,428.059326171875,226.5033416748047,87.72625732421875,86.34579467773438,124.47530364990234,215.50537109375,91.32096099853516,75.2850570678711,131.20852661132812,130.7051239013672,322.76129150390625,315.87890625,183.4803466796875,134.52682495117188,35.09306716918945,501.0860900878906,305.0799865722656,230.9228515625,164.26487731933594,149.2821807861328,58.1477165222168,373.9142761230469,532.6077270507812,219.41761779785156,395.13165283203125,277.1977844238281,70.42674255371094,305.02484130859375,188.02639770507812,38.303470611572266,104.54149627685547,82.69322967529297,319.66424560546875,65.09131622314453,427.7799987792969,566.2100219726562,43.7291259765625,113.47857666015625,175.3424072265625,32.99448013305664,150.13685607910156,122.67094421386719,117.99561309814453,88.78040313720703,109.73544311523438,82.83872985839844,97.3758316040039,64.5042495727539,383.2646179199219,280.6400451660156,13.011557579040527,84.46598815917969,538.1412353515625,136.4185028076172,239.75999450683594,163.0460205078125,497.274169921875,163.1605987548828,240.14125061035156,349.3699951171875,30.269489288330078,42.029640197753906,52.50663375854492,105.43240356445312,186.7769012451172,2096.139892578125
2023-08-15,176.15887451171875,143.94354248046875,101.78622436523438,301.2870178222656,518.7000122070312,175.85464477539062,242.88328552246094,138.07838439941406,111.3499984741211,252.097900390625,176.37603759765625,137.6699981689453,274.2898254394531,82.30349731445312,158.9658203125,232.25999450683594,28.54629135131836,271.7035217285156,3165.9462890625,644.5521850585938,57.552154541015625,354.5,40.84226608276367,270.5961608886719,195.19580078125,280.6429138183594,44.981895446777344,188.29989624023438,110.34565734863281,540.307373046875,207.62034606933594,50.950496673583984,29.541385650634766,68.91090393066406,147.99977111816406,422.22979736328125,224.78591918945312,85.99761199951172,85.08955383300781,122.25997924804688,214.42312622070312,89.97742462158203,75.08706665039062,129.6558837890625,129.16249084472656,317.4765319824219,317.9754943847656,181.8247528076172,134.48892211914062,34.198036193847656,492.5463562011719,306.6199951171875,229.47323608398438,163.7913360595703,145.4818878173828,57.75611877441406,371.1845703125,541.1412963867188,217.4263458251953,391.0373840332031,276.70831298828125,69.53209686279297,300.80096435546875,186.01113891601562,37.89869689941406,104.30152130126953,81.58534240722656,317.5136413574219,63.942527770996094,423.70001220703125,559.5999755859375,43.91602325439453,115.16744232177734,173.17474365234375,32.37246322631836,149.1731414794922,121.8233871459961,117.24070739746094,87.65039825439453,107.48338317871094,82.0912094116211,96.44072723388672,63.52021026611328,381.64752197265625,280.70904541015625,12.90206527709961,84.0348892211914,532.2552490234375,135.51881408691406,232.9600067138672,160.82720947265625,493.1474914550781,161.06890869140625,237.10610961914062,349.7799987792969,29.9989013671875,41.05913543701172,52.23753356933594,102.7256088256836,186.2844696044922,2072.860107421875
2023-08-16,175.28529357910156,143.40419006347656,101.38854217529297,301.52227783203125,514.489990234375,171.82969665527344,242.8155517578125,136.2745361328125,107.19000244140625,251.15968322753906,169.09869384765625,135.07000732421875,275.0401306152344,81.37254333496094,157.83673095703125,229.9499969482422,27.926546096801758,268.87628173828125,3160.792724609375,643.9964599609375,56.787899017333984,354.1099853515625,40.303504943847656,267.8060302734375,197.8001251220703,280.32275390625,44.32194519042969,189.06166076660156,109.51454162597656,540.8297119140625,205.84030151367188,50.578041076660156,29.45357894897461,68.33765411376953,147.4327850341797,414.65924072265625,222.63697814941406,85.29627227783203,85.33148193359375,121.7487564086914,212.6029815673828,89.75613403320312,73.54082489013672,128.50135803222656,128.08761596679688,314.5140075683594,318.8275146484375,180.5564422607422,133.3229217529297,32.978431701660156,491.0306396484375,299.32000732421875,229.05770874023438,163.2704315185547,144.86459350585938,57.76567077636719,369.63861083984375,540.7650756835938,215.78477478027344,390.9580993652344,273.9249267578125,69.22425842285156,293.17010498046875,186.11875915527344,37.61712646484375,104.36870574951172,81.42436981201172,316.7425842285156,64.14190673828125,415.45001220703125,549.5,43.46227264404297,113.25274658203125,173.0410614013672,32.45478820800781,147.65049743652344,132.62725830078125,116.4380111694336,87.0575942993164,106.01087951660156,81.59288024902344,95.41886138916016,63.82947540283203,381.3516540527344,277.5063781738281,12.86556625366211,87.50328063964844,526.7177734375,135.1961212158203,225.60000610351562,158.4936065673828,490.1011657714844,158.7262420654297,236.57225036621094,343.4100036621094,30.00792694091797,40.56907653808594,52.26378631591797,100.9970474243164,183.44810485839844,2055.800048828125
2023-08-17,172.73399353027344,141.95640563964844,101.77652740478516,299.56201171875,511.6700134277344,170.2003631591797,242.2155303955078,135.62396240234375,104.44000244140625,252.0768585205078,167.5026092529297,133.97999572753906,273.67413330078125,80.79717254638672,157.66000366210938,224.5399932861328,27.917015075683594,267.7007141113281,3078.403564453125,645.6824951171875,57.92496109008789,353.19000244140625,40.133365631103516,268.4499206542969,195.8517608642578,262.44366455078125,44.22629928588867,187.25364685058594,111.51109313964844,529.2788696289062,202.7078094482422,52.268436431884766,29.53162956237793,62.77442169189453,149.90065002441406,409.9838562011719,222.66342163085938,84.87152862548828,85.35501098632812,122.81853485107422,210.9205780029297,87.69339752197266,72.12657928466797,129.84500122070312,129.30181884765625,312.9945068359375,313.3227233886719,180.06265258789062,133.34188842773438,32.04405975341797,481.91644287109375,290.0799865722656,228.91270446777344,164.80471801757812,143.35989379882812,57.88983917236328,368.229736328125,532.2711181640625,211.89938354492188,389.22320556640625,270.5272521972656,68.49314880371094,284.005126953125,184.6415557861328,37.458740234375,104.55108642578125,81.23499298095703,313.26275634765625,64.09445190429688,403.0,543.6400146484375,43.32034683227539,112.80106353759766,170.40545654296875,33.3969612121582,146.59039306640625,131.72125244140625,114.86129760742188,86.51111602783203,105.94351196289062,82.17189025878906,93.09556579589844,63.9606819152832,379.0147705078125,273.8800354003906,12.78344440460205,86.50391387939453,533.7789916992188,133.3576202392578,219.22000122070312,158.53184509277344,480.7577209472656,158.7262420654297,234.67405700683594,343.8699951171875,29.81851577758789,40.80929946899414,51.09223175048828,102.95355224609375,180.00112915039062,2041.06005859375
2023-08-18,173.22042846679688,142.06997680664062,100.59318542480469,296.9156799316406,508.1300048828125,170.45252990722656,242.96070861816406,140.62155151367188,105.44999694824219,250.137451171875,167.63560485839844,133.22000122070312,273.9819641113281,80.674072265625,157.3163604736328,226.64999389648438,27.754926681518555,265.90338134765625,3025.353271484375,642.090087890625,57.84108352661133,352.55999755859375,39.93486785888672,267.1134033203125,195.71469116210938,267.7598876953125,43.7672004699707,186.9783172607422,112.04605865478516,527.1795043945312,203.69229125976562,52.56448745727539,30.116994857788086,62.783809661865234,150.97972106933594,388.3285827636719,221.42160034179688,84.91104125976562,85.8255615234375,123.67060852050781,211.1862030029297,88.34937286376953,71.54202270507812,127.50607299804688,126.853515625,310.51934814453125,313.4089050292969,180.6435546875,134.0528564453125,32.211265563964844,481.43096923828125,285.95001220703125,227.85935974121094,163.36512756347656,143.68785095214844,58.21458053588867,366.99700927734375,540.9532470703125,213.0650177001953,388.77716064453125,270.4120788574219,68.42581176757812,282.172119140625,184.73936462402344,37.75791549682617,104.81985473632812,80.38277435302734,312.8673400878906,64.39825439453125,404.5299987792969,541.5,43.27537155151367,114.35247039794922,170.14764404296875,33.5341796875,147.00479125976562,130.47427368164062,116.07489776611328,87.40030670166016,105.9627456665039,82.79915618896484,93.73182678222656,64.20686340332031,376.66802978515625,273.8603210449219,12.819942474365234,87.70903778076172,530.2135620117188,133.13270568847656,215.49000549316406,159.23001098632812,485.1180114746094,159.19105529785156,235.46495056152344,344.82000732421875,29.926753997802734,40.83811950683594,51.82732391357422,104.51114654541016,178.81932067871094,2039.3199462890625
2023-08-21,174.5605926513672,142.08888244628906,100.74838256835938,300.41473388671875,520.469970703125,171.87818908691406,243.018798828125,146.64422607421875,108.22000122070312,249.06739807128906,166.27706909179688,134.67999267578125,274.3570861816406,84.51319122314453,157.95455932617188,227.22000122070312,27.79306411743164,267.7784729003906,3018.99267578125,643.3738403320312,57.70127868652344,352.0899963378906,39.76473617553711,266.0890197753906,195.86155700683594,272.85296630859375,43.86285400390625,185.94122314453125,111.96964263916016,525.5060424804688,207.8689727783203,52.94649887084961,29.960895538330078,63.03754425048828,150.47300720214844,382.2349548339844,220.32948303222656,84.83201599121094,84.34806823730469,123.4244384765625,212.25863647460938,88.5311508178711,71.59859466552734,128.32220458984375,127.7591781616211,307.77667236328125,310.2400207519531,181.0017852783203,134.87759399414062,32.5948486328125,483.70953369140625,286.6700134277344,227.83035278320312,158.49703979492188,144.1797637939453,57.717918395996094,369.3353576660156,544.536865234375,211.3554229736328,389.7981872558594,268.78045654296875,68.04103088378906,288.7968444824219,185.08175659179688,37.599525451660156,105.2422103881836,79.7767562866211,318.2056884765625,63.68619918823242,408.2900085449219,554.7000122070312,46.941375732421875,114.48011779785156,169.06858825683594,33.85433578491211,146.2627716064453,128.7694091796875,114.80396270751953,87.37252044677734,106.52095794677734,82.5289535522461,92.9895248413086,64.01749420166016,373.1971740722656,272.21466064453125,12.86556625366211,87.80701446533203,530.0940551757812,132.55572509765625,231.27999877929688,160.62632751464844,484.3783264160156,156.63455200195312,236.74032592773438,350.739990234375,29.76439666748047,40.82851791381836,51.68949508666992,103.24796295166016,178.07083129882812,2058.360107421875
