ticker
AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
META
TSLA
BRK-B
UNH
JPM
V
XOM
JNJ
PG
MA
HD
CVX
AVGO
LLY
MRK
PEP
COST
ABBV
KO
PFE
TMO
ORCL
ACN
MCD
BAC
CSCO
CRM
ABT
DHR
WMT
DIS
ADBE
TXN
AMD
CMCSA
VZ
NFLX
INTC
PM
NEE
RTX
T
LIN
WFC
BMY
UPS
HON
QCOM
COP
AMGN
INTU
LOW
DE
IBM
CAT
AMAT
GE
SPGI
SBUX
MS
BA
GS
MDLZ
CVS
BLK
GILD
ADI
MMC
BKNG
C
PGR
AMT
AXP
TJX
ISRG
SYK
MO
EOG
CI
VRTX
TMUS
PLD
NOW
ADP
DUK
BDX
ETN
CB
CME
ITW
ZTS
SO
CSX
APD
