stock,weight,q
AAPL,0.05092019582859949,25
AMGN,0.0346250822242105,25
AMZN,0.04849843413744853,25
AVGO,0.041898573366590725,25
BLK,0.02814775187354322,25
CB,0.032000484880686485,25
COST,0.036238849430252525,25
DIS,0.02711477838025804,25
EOG,0.0302939154555088,25
ETN,0.03324152798590046,25
GOOG,0.03855420939750341,25
GOOGL,0.03623559458226837,25
IBM,0.030621711280812567,25
JNJ,0.0545406818269863,25
KO,0.06868430170948872,25
MCD,0.035597047603619626,25
META,0.030380286152972977,25
MS,0.02825052917930394,25
MSFT,0.08990474013644292,25
NVDA,0.03796111136500832,25
SO,0.041040707446044475,25
TSLA,0.032192447699168854,25
UNH,0.03597572050726382,25
V,0.0377491474525055,25
WFC,0.039332170097611426,25
