stock,weight,q
AAPL,0.1153159696269249,30
ABBV,0.029264110497682412,30
ADBE,0.024341798130398936,30
AMZN,0.03637129209599705,30
AVGO,0.0373709371367129,30
BAC,0.028588179422474554,30
BLK,0.024365068135011072,30
BRK-B,0.027643257314492277,30
CAT,0.026748862732199185,30
COST,0.023207683069263553,30
DHR,0.024187894131986628,30
GOOG,0.046202358650200594,30
GOOGL,0.02675416046149582,30
GS,0.03629391614577669,30
IBM,0.02667433896743323,30
JNJ,0.02753151112117933,30
KO,0.05691856403678323,30
LLY,0.02882846221627532,30
META,0.04093767607503086,30
MSFT,0.04105516224946919,30
NVDA,0.028358793265899324,30
ORCL,0.02348985018073249,30
PG,0.029635133653583515,30
RTX,0.024035312617687727,30
SPGI,0.024321427564102795,30
TMUS,0.02752016710702639,30
TSLA,0.03132772643250183,30
UNH,0.025546499107027974,30
UPS,0.021911058903565938,30
XOM,0.03525282895108437,30
