,ampl,ga,sp100
final_return,0.9838980855852553,18.515388499669537,11.052558700449788
annualized_return,3.753292667463437,17.837979847814253,11.590473921264351
annualized_volatility,23.555333460365503,13.006022580999637,14.869948432772345
sharpe_ratio,0.15933939860281643,1.3715169058581809,0.7794562283564981
correlation_with_sp100,0.9104166240671139,0.9572695928192364,
tracking_error,0.11755511090069343,0.04472387035770868,
relative_return,-10.068660614864534,7.46282979921975,
