q,ampl_top5_concentration,ga_top5_concentration
10,98.94161307368717,55.67059402002066
15,49.4708065368433,43.816877503241344
20,49.4708065368433,42.438263253812906
25,49.4708065368433,31.25483536389658
30,49.4708065368433,30.04297306384085
