period,q,approach,cum_return,correlation,tracking_error
q1,10,AMPL,4.1852391187510385,0.8269952265644941,0.11779454693464442
q1,10,GA,6.892727692604184,0.8991684164314016,0.051722983463193886
q1,15,AMPL,5.614831818517851,0.8942614317786693,0.13124089725526616
q1,15,GA,6.833279675440362,0.9151908363835163,0.04788918619155573
q1,20,AMPL,7.742113533718031,0.9178109321644977,0.10796953346010957
q1,20,GA,8.861338301069988,0.9577160737749149,0.03421157363475185
q1,25,AMPL,5.964566035117969,0.8959953474612378,0.12354857633977703
q1,25,GA,7.271245577270813,0.9478845258672736,0.03786345800045318
q1,30,AMPL,5.736815377133797,0.8944143032760878,0.13152754370754696
q1,30,GA,8.07333332160216,0.9638010942947252,0.03184591947192017
q2,10,AMPL,8.03882815244268,0.8659525945072919,0.11821959001073486
q2,10,GA,12.08212838033067,0.9296435331515917,0.05529396516768485
q2,15,AMPL,3.6221882263246297,0.905108409978141,0.1332832930969219
q2,15,GA,13.184824361518732,0.9200974102713759,0.06018336397459868
q2,20,AMPL,5.12945965405196,0.9293410575016591,0.11793461607408263
q2,20,GA,14.596634617396308,0.9655347289797422,0.04046834794807398
q2,25,AMPL,4.927646328919533,0.9031581448193187,0.12874281404071017
q2,25,GA,12.49013297590571,0.9648916677634156,0.04129428221377096
q2,30,AMPL,3.8003521315595368,0.9047201769014532,0.13335538632244953
q2,30,GA,16.561237799346063,0.9682465558879286,0.03947565906691155
q3,10,AMPL,18.83874745572358,0.8667003572645322,0.11060799175048781
q3,10,GA,23.787390097530547,0.919132790366216,0.054651451194783845
q3,15,AMPL,16.821937602460004,0.9014735601542949,0.12683825178509062
q3,15,GA,26.639712342189114,0.9104218825229492,0.0585357177716724
q3,20,AMPL,16.87108935995292,0.9191233017092326,0.11462920827671744
q3,20,GA,25.048229645084664,0.9589550072640918,0.04016539091191382
q3,25,AMPL,17.39178789834832,0.9003944355120409,0.12274426743489578
q3,25,GA,26.084755456236273,0.9577851051403673,0.041110325764658354
q3,30,AMPL,16.810838842964127,0.9006143346931583,0.12698285987908722
q3,30,GA,28.581203150934307,0.9651732606095157,0.03765839284900111
q4,10,AMPL,8.605848082109912,0.8521887042391931,0.12360939399330854
q4,10,GA,19.64633263599982,0.9164747544790075,0.05955334266437898
q4,15,AMPL,-0.63991745219657,0.8947339111501985,0.1297865103866424
q4,15,GA,19.883088381981228,0.9082831677688845,0.06377963686791498
q4,20,AMPL,0.9838980855852553,0.9104166240671139,0.11755511090069343
q4,20,GA,18.515388499669537,0.9572695928192364,0.04472387035770868
q4,25,AMPL,-0.6561017205959474,0.8962359872455898,0.12746524210803664
q4,25,GA,19.778166352702332,0.962461694542589,0.042175704456893094
q4,30,AMPL,-0.5467595645529011,0.8941607884889505,0.12991032752146822
q4,30,GA,20.606048522844734,0.9652667193523152,0.04054007475258646
